,Name,Brand,Price,Body,Transmission,Number Of Seats,Segment,Introduction,Drive,Drive System,Fuel,Cylinder Capacity,Max Power Hp,Max Torque,Fuel System,Valve Actuation,Turbo,Fuel Tank,Top Speed,Energy Label,Front Stabilizer,Rear Stabilizer,Num_doors,Dt_Transmission
4265,BMW 318CI CABRIO,BMW,47985.0, convertible,5.0,5,g,2003,rear,fuel engine,gasoline,4.0,143.0,200.0,multipoint injection,dohc,no,63.0,206.0,g,yes,yes,2,manual transmission
4266,BMW 320I CABRIO,BMW,50430.0, convertible,6.0,4,g,2007,rear,fuel engine,gasoline,4.0,170.0,210.0,direct injection,dohc,no,63.0,228.0,f,yes,yes,2,manual transmission
4267,BMW 320I CABRIO,BMW,51000.0, convertible,6.0,4,g,2010,rear,fuel engine,gasoline,4.0,170.0,210.0,direct injection,dohc,no,63.0,228.0,f,yes,yes,2,manual transmission
4268,BMW 535I GRAN TURISMO EXECUTIVE,BMW,74500.0, hatchback,8.0,5,e,2009,rear,fuel engine,gasoline,4.0,306.0,400.0,direct injection,dohc,yes,70.0,250.0,f,yes,yes,5,automatic
4269,BMW 518,BMW,13065.0, sedan,4.0,5,e,1974,rear,fuel engine,gasoline,2.0,90.0,140.0,carburettor,ohc,no,70.0,160.0,,yes,no,4,manual transmission
4270,BMW 518,BMW,16242.999999999998, sedan,5.0,5,e,1981,rear,fuel engine,gasoline,2.0,,,carburettor,ohc,no,70.0,,,yes,no,4,manual transmission
4271,BMW 518I,BMW,29019.000000000004, sedan,5.0,5,e,1989,rear,fuel engine,gasoline,2.0,113.0,162.0,multipoint injection,ohc,no,80.0,194.0,,yes,yes,4,manual transmission
4272,BMW 520I,BMW,38934.0, sedan,5.0,5,e,1996,rear,fuel engine,gasoline,4.0,150.0,190.0,multipoint injection,dohc,no,70.0,220.0,g,yes,yes,4,manual transmission
4273,BMW 520I,BMW,44400.0, sedan,5.0,5,e,2000,rear,fuel engine,gasoline,4.0,170.0,210.0,multipoint injection,dohc,no,70.0,226.0,g,yes,yes,4,manual transmission
4274,BMW 520I,BMW,48050.0, sedan,6.0,5,e,2003,rear,fuel engine,gasoline,4.0,170.0,210.0,multipoint injection,dohc,no,70.0,230.0,g,yes,yes,4,manual transmission
4275,BMW 520I CORPORATE LEASE,BMW,43310.0, sedan,6.0,5,e,2007,rear,fuel engine,gasoline,4.0,163.0,210.0,direct injection,dohc,no,70.0,224.0,e,yes,yes,4,manual transmission
4276,BMW 520I,BMW,47990.0, sedan,6.0,5,e,2011,rear,fuel engine,gasoline,4.0,184.0,270.0,direct injection,dohc,yes,70.0,227.0,d,yes,yes,4,manual transmission
4277,BMW 518I TOURING,BMW,29927.0, station wagon,5.0,5,e,1993,rear,fuel engine,gasoline,2.0,113.0,162.0,multipoint injection,ohc,no,80.0,190.0,,yes,yes,5,manual transmission
4278,BMW 520I TOURING,BMW,42156.000000000015, station wagon,5.0,5,e,1997,rear,fuel engine,gasoline,4.0,150.0,190.0,multipoint injection,dohc,no,70.0,212.0,g,yes,yes,5,manual transmission
4279,BMW 520I TOURING,BMW,47900.0, station wagon,5.0,5,e,2000,rear,fuel engine,gasoline,4.0,170.0,210.0,multipoint injection,dohc,no,70.0,223.0,g,yes,yes,5,manual transmission
4280,BMW 523I TOURING,BMW,53700.0, station wagon,6.0,5,e,2005,rear,fuel engine,gasoline,4.0,177.0,230.0,multipoint injection,dohc,no,70.0,227.0,g,yes,yes,5,manual transmission
4281,BMW 520I TOURING CORPORATE LEASE,BMW,47040.0, station wagon,6.0,5,e,2007,rear,fuel engine,gasoline,4.0,163.0,210.0,direct injection,dohc,no,70.0,220.0,e,yes,yes,5,manual transmission
4282,BMW 520I TOURING,BMW,49990.0, station wagon,6.0,5,e,2011,rear,fuel engine,gasoline,4.0,184.0,270.0,direct injection,dohc,yes,70.0,220.0,d,yes,yes,5,manual transmission
4283,BMW 640I GRAN COUPE,BMW,95000.0, sedan,8.0,5,g,2012,rear,fuel engine,gasoline,4.0,320.0,450.0,direct injection,dohc,yes,70.0,250.0,e,no,no,4,automatic
4284,BMW 628 CSI,BMW,49593.99999999999, coupé,5.0,5,g,1982,rear,fuel engine,gasoline,2.0,184.0,240.0,multipoint injection,ohc,no,70.0,212.0,,yes,yes,2,manual transmission
4285,BMW 630I,BMW,89335.0, coupé,6.0,4,g,2004,rear,fuel engine,gasoline,4.0,258.0,300.0,multipoint injection,dohc,no,70.0,250.0,g,no,no,2,manual transmission
4286,BMW 630I,BMW,89365.0, coupé,6.0,4,g,2007,rear,fuel engine,gasoline,4.0,272.0,320.0,direct injection,dohc,no,70.0,250.0,f,no,no,2,manual transmission
4287,BMW 640I COUPE,BMW,92501.0, coupé,8.0,4,g,2011,rear,fuel engine,gasoline,4.0,320.0,450.0,direct injection,dohc,yes,70.0,250.0,e,no,no,2,automatic
4288,BMW 630I CABRIO,BMW,100700.0, convertible,6.0,4,g,2004,rear,fuel engine,gasoline,4.0,258.0,300.0,multipoint injection,dohc,no,70.0,250.0,g,no,no,2,manual transmission
4289,AUDI A8 2 8,AUDI,62163.00000000001, sedan,5.0,5,f,1994,front,fuel engine,gasoline,2.0,174.0,250.0,multipoint injection,ohc,no,80.0,228.0,,yes,yes,4,manual transmission
4290,AUDI A8 2 8 5V,AUDI,65660.0, sedan,5.0,5,f,1999,front,fuel engine,gasoline,5.0,193.0,280.0,multipoint injection,dohc,no,80.0,236.0,g,yes,yes,4,manual transmission
